File 2 has different value for key: 130565291; File 1: 5; File 2: 9
File 2 has different value for key: 36646426; File 1: 18; File 2: 22
File 2 has different value for key: 84194080; File 1: 14; File 2: 18
File 2 has different value for key: 54097834; File 1: 3; File 2: 19
File 2 has different value for key: 137147899; File 1: 13; File 2: 18
File 2 has different value for key: 5315467; File 1: 4; File 2: 20
File 2 has different value for key: 102054016; File 1: 14; File 2: 18
File 2 has different value for key: 126496789; File 1: 16; File 2: 18
File 2 has different value for key: 55265083; File 1: 5; File 2: 19
File 2 has different value for key: 118338106; File 1: 10; File 2: 23
File 2 has different value for key: 95336650; File 1: 7; File 2: 20
