mes_size,hmap_size,base_size,map_size,bit_size,avg,time
21626880,0.000000,21626880,0,0,1.000000,100.010002
21626880,0.000000,21626880,0,0,1.000000,200.072998
21626880,0.000000,21626880,0,0,1.000000,300.079010
21626880,0.000000,21626880,0,0,1.000000,400.089996
21626880,0.000000,21626880,0,0,1.000000,500.093994
35147776,121190.000000,21626880,6684553,0,1.000000,600.146973
41279488,184162.000000,21626880,10157913,0,1.000000,700.200989
47083520,242670.000000,21626880,13384825,0,1.000000,800.211975
54906880,321190.000000,21626880,17716229,0,1.000000,900.231018
63713280,411822.000000,21626880,22716291,0,1.000000,1000.296021
70430720,466298.000000,21626880,25721212,0,1.000000,1100.296997
79581184,558538.000000,21626880,30810100,0,1.000000,1200.342041
89329664,656975.000000,21626880,36241215,0,1.000000,1300.392944
101380096,779933.000000,21626880,43025617,0,1.000000,1400.416016
114159616,892156.000000,21626880,49217309,0,1.000000,1500.477051
122023936,972938.000000,21626880,53673745,0,1.000000,1600.505005
131559424,1071202.000000,21626880,59096264,0,1.000000,1700.562012
146096128,1206553.000000,21626880,66564903,0,1.000000,1800.619995
158056448,1344761.000000,21626880,74192345,0,1.000000,1900.673950
175001600,1462877.000000,21626880,80711787,0,1.000000,2000.735962
185651200,1589252.000000,21626880,87686998,0,1.000000,2100.789062
197652480,1703127.000000,21626880,93971500,0,1.000000,2200.792969
211742720,1782396.000000,21626880,98346162,0,1.000000,2300.833008
222720000,1912245.000000,21626880,105512687,0,1.000000,2400.858887
234188800,2044390.000000,21626880,112806857,0,1.000000,2500.924072
251789312,2176837.000000,21626880,120117665,0,1.000000,2600.931885
267190272,2301369.000000,21626880,126991524,0,1.000000,2700.992920
276037632,2402158.000000,21626880,132556347,0,1.000000,2801.052979
289669120,2513802.000000,21626880,138721955,0,1.000000,2901.105957
299171840,2620255.000000,21626880,144599567,0,1.000000,3001.164062
308019200,2722426.000000,21626880,150239955,0,1.000000,3101.184082
316866560,2822003.000000,21626880,155739366,0,1.000000,3201.246094
336502784,2904859.000000,21626880,160315189,0,1.000000,3301.309082
337256448,3011401.000000,21626880,166198976,0,1.000000,3401.341064
347054080,3120568.000000,21626880,172228356,0,1.000000,3501.383057
359014400,3237211.000000,21626880,178672041,0,1.000000,3601.427002
369827840,3360831.000000,21626880,185501960,0,1.000000,3701.454102
379330560,3471748.000000,21626880,191629216,0,1.000000,3801.486084
388833280,3582923.000000,21626880,197771105,0,1.000000,3901.507080
397680640,3682069.000000,21626880,203246375,0,1.000000,4001.508057
410251264,3776747.000000,21626880,208476105,0,1.000000,4101.523926
418770944,3875074.000000,21626880,213909303,0,1.000000,4201.583008
430239744,4006807.000000,21626880,221186478,0,1.000000,4301.625977
439414784,4114891.000000,21626880,227158360,0,1.000000,4401.675781
465489920,4218876.000000,21626880,232905229,0,1.000000,4501.719238
478269440,4367306.000000,21626880,241107484,0,1.000000,4601.774902
489738240,4496100.000000,21626880,248229846,0,1.000000,4701.804199
500224000,4621020.000000,21626880,255131652,0,1.000000,4801.848145
514150400,4745574.000000,21626880,262012654,0,1.000000,4901.879883
525455360,4875068.000000,21626880,269171593,0,1.000000,5001.916992
527749120,4902071.000000,21626880,270663418,0,1.000000,5101.933105
531845120,4944799.000000,21626880,273022764,0,1.000000,5201.998047
541675520,5054809.000000,21626880,279100024,0,1.000000,5302.036133
551833600,5173117.000000,21626880,285636686,0,1.000000,5402.049805
569364480,5301413.000000,21626880,292724477,0,1.000000,5502.083984
581980160,5444998.000000,21626880,300663408,0,1.000000,5602.089844
599511040,5594819.000000,21626880,308942967,0,1.000000,5702.116211
613343232,5715106.000000,21626880,315592296,0,1.000000,5802.175781
625958912,5857166.000000,21626880,323442734,0,1.000000,5902.240234
645685248,5991927.000000,21626880,330890272,0,1.000000,6002.292969
658464768,6139333.000000,21626880,339036369,0,1.000000,6102.351074
668786688,6257179.000000,21626880,345550590,0,1.000000,6202.398926
681730048,6403801.000000,21626880,353656074,0,1.000000,6302.412109
707452928,6543280.000000,21626880,361370057,0,1.000000,6402.541016
721379328,6706755.000000,21626880,370415249,0,1.000000,6502.571777
733995008,6852729.000000,21626880,378492742,0,1.000000,6602.573242
746938368,6998255.000000,21626880,386539822,0,1.000000,6702.582031
767651840,7137120.000000,21626880,394219920,0,1.000000,6802.586914
779284480,7269294.000000,21626880,401533064,0,1.000000,6902.587891
791900160,7415193.000000,21626880,409602881,0,1.000000,7002.618164
802385920,7537110.000000,21626880,416349546,0,1.000000,7102.619141
810905600,7635499.000000,21626880,421789505,0,1.000000,7202.631836
823357440,7776018.000000,21626880,429566826,0,1.000000,7302.632812
835973120,7917803.000000,21626880,437415242,0,1.000000,7402.684082
847114240,8045542.000000,21626880,444486557,0,1.000000,7502.723145
857763840,8167190.000000,21626880,451219098,0,1.000000,7602.747070
867430400,8280917.000000,21626880,457513113,0,1.000000,7702.749023
876605440,8384397.000000,21626880,463242707,0,1.000000,7802.752930
901672960,8517797.000000,21626880,470626307,0,1.000000,7902.753906
943243264,8611676.000000,21626880,475821989,0,1.000000,8002.770996
955039744,8749036.000000,21626880,483424395,0,1.000000,8102.798828
970825728,8867439.000000,21626880,489980540,0,1.000000,8202.838867
982622208,8965936.000000,21626880,495435867,0,1.000000,8302.842773
993271808,9088383.000000,21626880,502210515,0,1.000000,8402.883789
1018830848,9189930.000000,21626880,507830874,0,1.000000,8502.890625
1039802368,9317432.000000,21626880,514890043,0,1.000000,8602.916016
1048649728,9416102.000000,21626880,520355618,0,1.000000,8702.929688
1056514048,9506048.000000,21626880,525336306,0,1.000000,8802.940430
1062903808,9581750.000000,21626880,529530673,0,1.000000,8902.941406
1072078848,9685955.000000,21626880,535297879,0,1.000000,9002.993164
1081417728,9793213.000000,21626880,541237503,0,1.000000,9103.008789
1089118208,9882167.000000,21626880,546158930,0,1.000000,9203.078125
1098457088,9988018.000000,21626880,552015777,0,1.000000,9303.081055
1108123648,10101015.000000,21626880,558267102,0,1.000000,9403.134766
1116643328,10194112.000000,21626880,563420156,0,1.000000,9503.158203
1124671488,10291386.000000,21626880,568808036,0,1.000000,9603.220703
1135812608,10412836.000000,21626880,575536819,0,1.000000,9703.241211
1146953728,10537924.000000,21626880,582466824,0,1.000000,9803.243164
1157111808,10656619.000000,21626880,589042409,0,1.000000,9903.281250
1165303808,10751483.000000,21626880,594296392,0,1.000000,10003.338867
1208393728,10845086.000000,21626880,599485472,0,1.000000,10103.347656
1209536512,10873998.000000,21626880,601087413,0,1.000000,10203.376953
