mes_size,hmap_size,base_size,map_size,bit_size,avg,time
561356800,8497.000000,558243840,3698000,0,1.000000,10.041000
565780480,17388.000000,558243840,7548918,0,1.000000,20.108999
569384960,26130.000000,558243840,11399482,0,1.000000,30.115999
572989440,34961.000000,558243840,15233188,0,1.000000,40.181999
576921600,43792.000000,558243840,19059791,0,1.000000,50.183998
580853760,52732.000000,558243840,22952052,0,1.000000,60.236000
584785920,61555.000000,558243840,26815028,0,1.000000,70.260002
588390400,70328.000000,558243840,30672371,0,1.000000,80.302002
592322560,79128.000000,558243840,34477836,0,1.000000,90.307999
596418560,87904.000000,558243840,38305802,0,1.000000,100.309998
600186880,96689.000000,558243840,42111170,0,1.000000,110.316002
603955200,105351.000000,558243840,45947050,0,1.000000,120.324997
607887360,114002.000000,558243840,49748753,0,1.000000,130.330994
611328000,122907.000000,558243840,53618415,0,1.000000,140.397995
615424000,132018.000000,558243840,57489415,0,1.000000,150.468994
619520000,140887.000000,558243840,61370904,0,1.000000,160.535004
623288320,149249.000000,558243840,65071671,0,1.000000,170.535995
626728960,157520.000000,558243840,68744757,0,1.000000,180.604996
630497280,166292.000000,558243840,72539803,0,1.000000,190.669998
634265600,175010.000000,558243840,76359680,0,1.000000,200.738007
638033920,183644.000000,558243840,80149494,0,1.000000,210.742004
641638400,192240.000000,558243840,83903843,0,1.000000,220.807007
645734400,200976.000000,558243840,87704593,0,1.000000,230.811996
649338880,209817.000000,558243840,91521083,0,1.000000,240.817001
653434880,218508.000000,558243840,95360750,0,1.000000,250.856995
656875520,227053.000000,558243840,99222588,0,1.000000,260.884003
660971520,235753.000000,558243840,103050814,0,1.000000,270.903015
665067520,244316.000000,558243840,106825766,0,1.000000,280.970001
668672000,252913.000000,558243840,110548486,0,1.000000,291.028992
671948800,261363.000000,558243840,114324746,0,1.000000,301.041992
676044800,270204.000000,558243840,118180356,0,1.000000,311.104004
680140800,278810.000000,558243840,122010219,0,1.000000,321.165985
683745280,287563.000000,558243840,125842820,0,1.000000,331.183014
687513600,296349.000000,558243840,129634743,0,1.000000,341.243011
691281920,305035.000000,558243840,133431403,0,1.000000,351.246002
695541760,313857.000000,558243840,137277847,0,1.000000,361.296997
698818560,322695.000000,558243840,141104897,0,1.000000,371.312988
702914560,331487.000000,558243840,144961409,0,1.000000,381.368988
706355200,340211.000000,558243840,148799004,0,1.000000,391.398987
710778880,349031.000000,558243840,152648291,0,1.000000,401.454010
714219520,357911.000000,558243840,156485328,0,1.000000,411.519989
718151680,366564.000000,558243840,160306833,0,1.000000,421.528992
722247680,375365.000000,558243840,164165507,0,1.000000,431.592987
725688320,384071.000000,558243840,167910236,0,1.000000,441.600006
729456640,392460.000000,558243840,171590458,0,1.000000,451.606995
733224960,401127.000000,558243840,175359748,0,1.000000,461.608002
736993280,409710.000000,558243840,179133073,0,1.000000,471.669006
740761600,418493.000000,558243840,182941948,0,1.000000,481.687988
744529920,427114.000000,558243840,186773834,0,1.000000,491.746002
748298240,435735.000000,558243840,190547272,0,1.000000,501.747986
751902720,444547.000000,558243840,194390343,0,1.000000,511.816986
712916992,453069.000000,558243840,155201025,0,1.000000,521.830017
673746944,461345.000000,558243840,115892864,0,1.000000,531.892029
656130048,469944.000000,558243840,98187176,0,1.000000,541.901978
659734528,478573.000000,558243840,101976201,0,1.000000,551.963013
620494848,487047.000000,558243840,62700796,0,1.000000,561.973022
624263168,495471.000000,558243840,66371262,0,1.000000,572.023010
627703808,503996.000000,558243840,70072730,0,1.000000,582.026978
631144448,512645.000000,558243840,73826813,0,1.000000,592.096985
613548032,521239.000000,558243840,56094814,0,1.000000,602.112976
617807872,529981.000000,558243840,59923220,0,1.000000,612.122986
