size, time
51826688,76294.679688
51826688,76294.804688
51826688,76294.875000
51826688,76294.937500
51826688,76295.007812
51826688,76295.070312
51826688,76295.132812
51826688,76295.203125
51826688,76295.265625
51826688,76295.328125
51826688,76295.390625
51826688,76295.453125
51826688,76295.531250
51826688,76295.593750
51826688,76295.656250
51826688,76295.687500
51826688,76295.757812
51826688,76295.820312
51826688,76295.890625
51826688,76295.953125
51826688,76296.023438
51826688,76296.085938
51826688,76296.148438
51826688,76296.226562
51826688,76296.289062
51826688,76296.351562
51826688,76296.414062
51826688,76296.476562
51826688,76296.554688
51826688,76296.617188
51826688,76296.679688
51826688,76296.742188
51826688,76296.828125
51826688,76296.898438
51826688,76296.960938
51826688,76297.023438
51826688,76297.093750
51826688,76297.156250
51826688,76297.226562
51826688,76297.289062
51826688,76297.359375
51826688,76297.421875
51826688,76297.484375
51826688,76297.554688
51826688,76297.617188
51826688,76297.687500
51826688,76297.750000
51826688,76297.812500
51826688,76297.890625
51826688,76297.953125
51826688,76298.015625
51826688,76298.078125
51826688,76298.140625
51826688,76298.210938
51826688,76298.273438
51826688,76298.343750
51826688,76298.406250
51826688,76298.468750
51826688,76298.539062
51826688,76298.601562
51826688,76298.664062
51826688,76298.734375
51826688,76298.796875
51826688,76298.867188
51826688,76298.929688
51826688,76298.992188
51826688,76299.054688
51826688,76299.117188
51826688,76299.187500
51826688,76299.257812
51826688,76299.320312
51826688,76299.382812
51826688,76299.445312
51826688,76299.515625
51826688,76299.578125
51826688,76299.648438
51826688,76299.687500
51826688,76299.757812
51826688,76299.820312
51826688,76299.890625
51826688,76299.953125
51826688,76300.023438
51826688,76300.085938
51826688,76300.148438
51826688,76300.226562
51826688,76300.289062
51826688,76300.351562
51826688,76300.414062
51826688,76300.476562
51826688,76300.554688
51826688,76300.617188
51826688,76300.679688
51826688,76300.750000
51826688,76300.812500
51826688,76300.882812
51826688,76300.945312
51826688,76301.007812
51826688,76301.070312
51826688,76301.140625
51826688,76301.210938
51826688,76301.273438
51826688,76301.335938
51826688,76301.398438
51826688,76301.460938
51826688,76301.531250
51826688,76301.601562
51826688,76301.664062
51826688,76301.726562
51826688,76301.789062
51826688,76301.859375
51826688,76301.921875
51826688,76301.984375
51826688,76302.046875
51826688,76302.117188
51826688,76302.187500
51826688,76302.250000
51826688,76302.312500
51826688,76302.375000
51826688,76302.437500
51826688,76302.515625
51826688,76302.578125
51826688,76302.640625
51826688,76302.703125
51826688,76302.765625
51826688,76302.828125
51826688,76302.898438
51826688,76302.960938
51826688,76303.031250
51826688,76303.093750
51826688,76303.156250
51826688,76303.226562
51826688,76303.289062
51826688,76303.351562
51826688,76303.414062
51826688,76303.484375
51826688,76303.554688
51826688,76303.617188
51826688,76303.679688
51826688,76303.750000
51826688,76303.820312
51826688,76303.890625
51826688,76303.953125
51826688,76304.015625
51826688,76304.078125
51826688,76304.148438
51826688,76304.218750
51826688,76304.281250
51826688,76304.343750
51826688,76304.414062
51826688,76304.476562
51826688,76304.546875
51826688,76304.609375
51826688,76304.671875
51826688,76304.742188
51826688,76304.804688
51826688,76304.875000
51826688,76304.937500
51826688,76305.000000
51826688,76305.070312
51826688,76305.132812
51826688,76305.203125
51826688,76305.265625
51826688,76305.328125
51826688,76305.390625
51826688,76305.453125
51826688,76305.531250
51826688,76305.593750
51826688,76305.656250
51826688,76305.718750
51826688,76305.781250
51826688,76305.851562
51826688,76305.914062
51826688,76305.984375
51826688,76306.046875
51826688,76306.109375
51826688,76306.179688
51826688,76306.242188
51826688,76306.304688
51826688,76306.367188
51826688,76306.429688
51826688,76306.507812
51826688,76306.570312
51826688,76306.632812
51826688,76306.695312
51826688,76306.757812
